2021-12-15 21:13:36,628:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.298086; test: logloss_one = 0.499328; recall_one = 0.522185; hr_one = 0.522185; ndcg_one = 0.293988
2021-12-15 21:13:44,608:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 10; train_loss = 0.070263; test: logloss_one = 3.149225; recall_one = 0.549338; hr_one = 0.549338; ndcg_one = 0.308457
2021-12-15 21:13:53,948:INFO: model = topk_10_mfbesvd_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.071817; test: logloss_one = 3.337476; recall_one = 0.581954; hr_one = 0.581954; ndcg_one = 0.333809
2021-12-15 21:13:56,962:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 10; train_loss = 0.174261; test: logloss_one = 0.383394; recall_one = 0.649503; hr_one = 0.649503; ndcg_one = 0.378948
2021-12-15 21:13:57,930:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 8; train_loss = 1.691889; test: logloss_one = 2.804868; recall_one = 0.723344; hr_one = 0.723344; ndcg_one = 0.449796
2021-12-15 21:14:01,053:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 8; train_loss = 0.122040; test: logloss_one = 3.059025; recall_one = 0.718543; hr_one = 0.718543; ndcg_one = 0.440605
2021-12-15 21:14:16,550:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 0; train_loss = -1.000000; test: logloss_one = 0.693147; recall_one = 0.092881; hr_one = 0.092881; ndcg_one = 0.042999
2021-12-15 21:14:29,755:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 3; train_loss = 2.783513; test: logloss_one = 0.402407; recall_one = 0.546523; hr_one = 0.546523; ndcg_one = 0.310978
2021-12-15 21:14:32,176:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 7; train_loss = 2.250391; test: logloss_one = 0.279506; recall_one = 0.640728; hr_one = 0.640728; ndcg_one = 0.376185
2021-12-15 21:14:52,278:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_movielens_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.251359; test: logloss_one = 0.460018; recall_one = 0.566887; hr_one = 0.566887; ndcg_one = 0.319590
