2021-12-16 09:37:08,311:INFO: model = topk_10_mf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.474893; test: logloss_one = 0.035834; recall_one = 0.871999; hr_one = 0.871999; ndcg_one = 0.549108
2021-12-16 09:37:09,774:INFO: model = topk_10_mf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.089580; test: logloss_one = 3.648044; recall_one = 0.282838; hr_one = 0.282838; ndcg_one = 0.145741
2021-12-16 09:37:13,004:INFO: model = topk_10_mfmbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.164349; test: logloss_one = 0.046988; recall_one = 0.827912; hr_one = 0.827912; ndcg_one = 0.504013
2021-12-16 09:37:13,124:INFO: model = topk_10_mfmbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.990266; test: logloss_one = 0.043830; recall_one = 0.848660; hr_one = 0.848660; ndcg_one = 0.526190
2021-12-16 09:37:18,552:INFO: model = topk_10_mf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.081103; test: logloss_one = 0.034578; recall_one = 0.866635; hr_one = 0.866635; ndcg_one = 0.539750
2021-12-16 09:37:19,555:INFO: model = topk_10_mfbesvd_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.064717; test: logloss_one = 1.722067; recall_one = 0.866980; hr_one = 0.866980; ndcg_one = 0.552660
2021-12-16 09:37:22,877:INFO: model = topk_10_mfbe_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 2.358878; test: logloss_one = 0.058347; recall_one = 0.824723; hr_one = 0.824723; ndcg_one = 0.502652
2021-12-16 09:37:23,526:INFO: model = topk_10_mfbe_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.229591; test: logloss_one = 0.064471; recall_one = 0.810753; hr_one = 0.810753; ndcg_one = 0.488245
2021-12-16 09:37:24,378:INFO: model = topk_10_mfmbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.100093; test: logloss_one = 3.891536; recall_one = 0.307355; hr_one = 0.307355; ndcg_one = 0.162372
2021-12-16 09:37:31,459:INFO: model = topk_10_mfbe_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.105495; test: logloss_one = 3.984936; recall_one = 0.268088; hr_one = 0.268088; ndcg_one = 0.136018
2021-12-16 09:37:56,120:INFO: model = topk_10_nmf_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.052638; test: logloss_one = 0.013659; recall_one = 0.873032; hr_one = 0.873032; ndcg_one = 0.550786
2021-12-16 09:38:13,036:INFO: model = topk_10_nmf_list_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 1.161412; test: logloss_one = 0.014647; recall_one = 0.874572; hr_one = 0.874572; ndcg_one = 0.559285
2021-12-16 09:38:26,673:INFO: model = topk_10_mfg_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.060436; test: logloss_one = 2.235861; recall_one = 0.813452; hr_one = 0.813452; ndcg_one = 0.492122
2021-12-16 09:38:37,061:INFO: model = topk_10_nmf_point_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 5; train_loss = 0.039637; test: logloss_one = 2.095531; recall_one = 0.866001; hr_one = 0.866001; ndcg_one = 0.556455
2021-12-16 09:38:38,438:INFO: model = topk_10_mfbesvd_bpr_weightdecay_0_batch_1024_dim_64_pinterest_neg_50_adam_0.001_norm_False_emb_dropout0_dnn_False_one; epoch = 4; train_loss = 0.176849; test: logloss_one = 1.837402; recall_one = 0.863047; hr_one = 0.863047; ndcg_one = 0.547899
